Designator,Mid X,Mid Y,Rotation,Layer
U1,11.0000mm,24.0000mm,0,top
U2,11.0000mm,46.0000mm,0,top
U3,5.5000mm,8.0000mm,0,top
U4,16.5000mm,8.0000mm,0,top
J1,11.0000mm,1.5000mm,0,top
J2,3.0000mm,15.0000mm,90,top
J3,3.0000mm,4.0000mm,90,top
J4,11.0000mm,57.0000mm,0,top
SW1,20.0000mm,36.0000mm,0,top
SW2,20.0000mm,40.0000mm,0,top
D1,8.0000mm,5.5000mm,0,top
D2,5.5000mm,5.5000mm,180,top
LED1,19.0000mm,12.0000mm,0,top
LED2,19.0000mm,14.0000mm,0,top
R1,3.0000mm,10.0000mm,0,top
R2,8.0000mm,10.0000mm,0,top
R3,19.0000mm,10.5000mm,90,top
R4,19.0000mm,13.0000mm,90,top
R5,14.0000mm,15.0000mm,90,top
R6,14.0000mm,17.0000mm,90,top
R7,17.0000mm,18.0000mm,90,top
R8,19.0000mm,18.0000mm,90,top
R9,9.0000mm,3.0000mm,0,top
R10,13.0000mm,3.0000mm,0,top
C1,5.5000mm,6.5000mm,0,top
C2,5.5000mm,11.0000mm,0,top
C3,16.5000mm,6.5000mm,0,top
C4,16.5000mm,10.0000mm,0,top
C5,11.0000mm,19.0000mm,0,top
C6,8.0000mm,19.0000mm,0,top
C7,8.0000mm,44.0000mm,0,top
C8,14.0000mm,44.0000mm,0,top
C9,8.0000mm,48.0000mm,0,top
C10,14.0000mm,48.0000mm,0,top
C11,11.0000mm,51.0000mm,0,top
C12,11.0000mm,53.0000mm,0,top
L1,11.0000mm,43.0000mm,0,top
L2,11.0000mm,52.0000mm,90,top
Y1,7.0000mm,46.0000mm,0,top
