Comment,Designator,Footprint,LCSC Part #
ESP32-S3-MINI-1-N8,U1,ESP32-S3-MINI-1,C2913206
SX1262IMLTRT,U2,QFN-24-4x4,C191341
CN3063,U3,SOP-8,C28078
AP2112K-3.3TRG1,U4,SOT-23-5,C51118
USB-C-2.0,J1,USB_C_Mid,C168688
"JST-PH-2P","J2,J3",JST_PH_S2B,C131337
SMA-Edge,J4,SMA_Edge,C496549
"Tactile Switch","SW1,SW2",SW_3x2.5,C318884
"SS14","D1,D2",SOD-123,C8598
RED,LED1,LED_0603,C2286
GREEN,LED2,LED_0603,C2297
3k,R1,R_0402,C25890
"10k","R2,R7,R8",R_0402,C25744
"1k","R3,R4",R_0402,C11702
"100k","R5,R6",R_0402,C25741
"5.1k","R9,R10",R_0402,C25905
"100nF","C1,C3,C5,C7,C8,C9",C_0402,C1525
"10uF","C2,C4,C6",C_0805,C15850
47pF,C10,C_0402,C1554
1.0pF,C11,C_0402,C440162
1.5pF,C12,C_0402,C76901
15nH,L1,L_0402,C87189
3.9nH,L2,L_0402,C77123
32MHz,Y1,TCXO_2016,C2935820
